"xout","yout"
100,1250.26
126.833333333,1202.66
145.5,1160.84
163,1111.71
210.833333333,1022.63
296,970.61
310,1019.74
349.666666667,967.55
380,1011.75
397.5,1058.67
411.5,1104.57
416.166666667,1055.78
430.166666667,1102.7
440.666666667,1200.79
460.5,1247.88
471,1247.88
492,1292.76
501.333333333,1293.61
513,1336.45
551.5,1291.91
570.166666667,1335.77
606.333333333,1289.7
622.666666667,1336.79
664.666666667,1286.64
686.833333333,1241.42
707.833333333,1337.81
728.833333333,1290.04
759.166666667,1340.87
780.166666667,1384.9
789.5,1473.98
804.666666667,1384.56
850.166666667,1429.27
861.833333333,1339
919,1387.79
935.333333333,1430.8
948.166666667,1389.32
958.666666667,1432.33
985.5,1388.64
1006.5,1436.07
1012.33333333,1434.54
1031,1479.76
1069.5,1437.94
1088.16666667,1479.93
1096.33333333,1522.94
1136,1558.13
1143,1521.41
1164,1481.12
1194.33333333,1568.67
1222.33333333,1533.82
1260.83333333,1497.61
1281.83333333,1446.78
1311,1405.81
1318,1346.31
1342.5,1459.53
1364.66666667,1408.02
1395,1358.38
1410.16666667,1408.36
1424.16666667,1361.95
1442.83333333,1411.76
1456.83333333,1471.77
1500,1351.75
1512.83333333,1300.75
1538.5,1358.89
1550.16666667,1296.67
1571.16666667,1364.67
1585.16666667,1423.49
1617.83333333,1361.61
1622.5,1425.19
1627.16666667,1480.95
1645.83333333,1426.38
1673.83333333,1359.91
1699.5,1429.78
1704.16666667,1536.54
1720.5,1430.63
1745,1365.01
1757.83333333,1297.35
1775.33333333,1226.8
1782.33333333,1293.95
1797.5,1419.41
1813.83333333,1334.07
1853.5,1375.04
1873.33333333,1463.95
1896.66666667,1416.52
1914.16666667,1502.37
1928.16666667,1561.53
1957.33333333,1621.88
1985.33333333,1566.46
2004,1628.51
2032,1575.98
2056.5,1523.45
2084.5,1638.37
2116,1688.01
2125.33333333,1728.47
2148.66666667,1692.94
2168.5,1652.99
2194.16666667,1699.06
2222.16666667,1742.58
2229.16666667,1774.03
2270,1751.08
2278.16666667,1783.72
2319,1759.92
2330.66666667,1728.98
2372.66666667,1801.4
2386.66666667,1825.37
2391.33333333,1806.5
2408.83333333,1829.11
2445,1815.68
2456.66666667,1794.09
2491.66666667,1764.51
2502.16666667,1734.59
2522,1775.73
2526.66666667,1741.05
2552.33333333,1786.78
2564,1752.61
2607.16666667,1717.93
2617.66666667,1661.83
2659.66666667,1642.11
2663.16666667,1718.61
2687.66666667,1813.64
2695.83333333,1752.95
2720.33333333,1682.57
2735.5,1555.92
2782.16666667,1702.63
2791.5,1717.25
2847.5,1703.82
2848.66666667,1699.74
2883.66666667,1836.08
2889.5,1653.16
2890.66666667,1779.64
2896.5,1895.41
2896.5,1869.06
2900,1900
