Time,Win Probability,,,
0:00,0.6178,,,
0:23,0.5898,,,
0:39,0.5652,,,
0:54,0.5363,,,
1:35,0.4839,,,
2:48,0.4533,,,
3:00,0.4822,,,
3:34,0.4515,,,
4:00,0.4775,,,
4:15,0.5051,,,
4:27,0.5321,,,
4:31,0.5034,,,
4:43,0.531,,,
4:52,0.5887,,,
5:09,0.6164,,,
5:18,0.6164,,,
5:36,0.6428,,,
5:44,0.6433,,,
5:54,0.6685,,,
6:27,0.6423,,,
6:43,0.6681,,,
7:14,0.641,,,
7:28,0.6687,,,
8:04,0.6392,,,
8:23,0.6126,,,
8:41,0.6693,,,
8:59,0.6412,,,
9:25,0.6711,,,
9:43,0.697,,,
9:51,0.7494,,,
10:04,0.6968,,,
10:43,0.7231,,,
10:53,0.67,,,
11:42,0.6987,,,
11:56,0.724,,,
12:07,0.6996,,,
12:16,0.7249,,,
12:39,0.6992,,,
12:57,0.7271,,,
13:02,0.7262,,,
13:18,0.7528,,,
13:51,0.7282,,,
14:07,0.7529,,,
14:14,0.7782,,,
14:48,0.7989,,,
14:54,0.7773,,,
15:12,0.7536,,,
15:38,0.8051,,,
16:02,0.7846,,,
16:35,0.7633,,,
16:53,0.7334,,,
17:18,0.7093,,,
17:24,0.6743,,,
17:45,0.7409,,,
18:04,0.7106,,,
18:30,0.6814,,,
18:43,0.7108,,,
18:55,0.6835,,,
19:11,0.7128,,,
19:23,0.7481,,,
20:00,0.6775,,,
20:11,0.6475,,,
20:33,0.6817,,,
20:43,0.6451,,,
21:01,0.6851,,,
21:13,0.7197,,,
21:41,0.6833,,,
21:45,0.7207,,,
21:49,0.7535,,,
22:05,0.7214,,,
22:29,0.6823,,,
22:51,0.7234,,,
22:55,0.7862,,,
23:09,0.7239,,,
23:30,0.6853,,,
23:41,0.6455,,,
23:56,0.604,,,
24:02,0.6435,,,
24:15,0.7173,,,
24:29,0.6671,,,
25:03,0.6912,,,
25:20,0.7435,,,
25:40,0.7156,,,
25:55,0.7661,,,
26:07,0.8009,,,
26:32,0.8364,,,
26:56,0.8038,,,
27:12,0.8403,,,
27:36,0.8094,,,
27:57,0.7785,,,
28:21,0.8461,,,
28:48,0.8753,,,
28:56,0.8991,,,
29:16,0.8782,,,
29:33,0.8547,,,
29:55,0.8818,,,
30:19,0.9074,,,
30:25,0.9259,,,
31:00,0.9124,,,
31:07,0.9316,,,
31:42,0.9176,,,
31:52,0.8994,,,
32:28,0.942,,,
32:40,0.9561,,,
32:44,0.945,,,
32:59,0.9583,,,
33:30,0.9504,,,
33:40,0.9377,,,
34:10,0.9203,,,
34:19,0.9027,,,
34:36,0.9269,,,
34:40,0.9065,,,
35:02,0.9334,,,
35:12,0.9133,,,
35:49,0.8929,,,
35:58,0.8599,,,
36:34,0.8483,,,
36:37,0.8933,,,
36:58,0.9492,,,
37:05,0.9135,,,
37:26,0.8721,,,
37:39,0.7976,,,
38:19,0.8839,,,
38:27,0.8925,,,
39:15,0.8846,,,
39:16,0.8822,,,
39:46,0.9624,,,
39:51,0.8548,,,
39:52,0.9292,,,
39:57,0.9973,,,
39:57,0.9818,,,
40:00,1,,,
